id;name;ville;max_avion
1;lime;utilisation overriding;97752
2;grey;asymmetric interactive;70461
3;Intelligent Indian Rupee;RAM Investment Account port;65957
4;Quality invoice systemic;Buckinghamshire;25756
5;auxiliary Granite;withdrawal Rubber;31542
6;El Salvador Colon US Dollar Innovative Granite;Customer Analyst;69313
7;revolutionize;RSS copy Planner;69703
8;Cotton;Baby Sleek Rubber Towels;14298
9;Practical Soft Table Tools;Soft HDD Money Market Account;60556
10;Tactics cross-media Cambridgeshire;capability customized;50951
